#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-04-29T19:05:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6170c1272	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=VFTS 682
#-c.eq=J2000
#-c.r= 10
#-c.u=arcmin
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,bm=10.000000/10.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV|deg|mas|deg|mas|mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|km/s|km/s
#----------------------------|---------------|-------|---------------|-------|----------|-------|---------|------|---------|------|-------|-----
Gaia DR2 4657676356459233792|084.84437996799| 0.3044|-69.15457691726| 0.3711|    0.0361| 0.3114|    1.565| 0.701|   -0.434| 0.757|       |
Gaia DR2 4657676360756283264|084.84573269896| 0.7817|-69.14562344359| 1.1423|   -1.5250| 0.7672|    5.135| 2.164|    5.469| 2.396|       |
Gaia DR2 4657676292036031360|084.89257262565| 1.7179|-69.15704244625| 1.4226|          |       |         |      |         |      |       |
Gaia DR2 4657676356459245952|084.84767740633| 0.2540|-69.15238227407| 0.3029|   -0.1226| 0.2619|    1.682| 0.558|    0.878| 0.606|       |
Gaia DR2 4657676356494235776|084.85262271377| 0.5912|-69.15248679583| 0.7706|   -0.0633| 0.5656|    0.888| 1.396|   -3.351| 1.633|       |
Gaia DR2 4657676356494322560|084.87314118202| 4.9556|-69.15318437358| 3.8107|          |       |         |      |         |      |       |
Gaia DR2 4657676356459254016|084.84973221721| 1.0812|-69.14653273323| 0.9767|   -0.8437| 0.8704|   -0.995| 2.570|    1.053| 2.072|       |
Gaia DR2 4657676356494246144|084.88219067783| 7.4528|-69.15367800071| 8.4931|          |       |         |      |         |      |       |
Gaia DR2 4657676356437382656|084.85554856123| 0.0604|-69.15360789235| 0.0687|    0.1387| 0.0641|    0.733| 0.123|    3.338| 0.129|       |
Gaia DR2 4657676360776998656|084.87272710958| 0.0422|-69.15636090457| 0.0489|   -0.1149| 0.0444|    1.495| 0.085|    0.651| 0.089|       |
Gaia DR2 4657676360776994560|084.85491116500| 0.7046|-69.15330996048| 0.9797|   -0.6702| 0.6734|    0.968| 1.654|   -1.902| 1.843|       |
Gaia DR2 4657676356494238720|084.86119285808| 1.1597|-69.15056988742| 1.1099|    0.7988| 1.1111|    5.376| 2.472|   -1.005| 2.661|       |
Gaia DR2 4657676356459338752|084.87947908514| 0.6364|-69.15643859663| 0.8140|   -0.0654| 0.6424|    0.360| 1.513|   -2.786| 1.865|       |
Gaia DR2 4657676356494327936|084.87985545634| 2.3583|-69.15589196685| 3.6083|          |       |         |      |         |      |       |
Gaia DR2 4657676356494238336|084.85995261035| 0.9476|-69.15560912994| 0.9341|    0.1871| 0.8812|    6.473| 2.131|   -0.439| 2.187|       |
Gaia DR2 4657676360776994176|084.85248060095| 0.1430|-69.15642415526| 0.1685|    0.0552| 0.1496|    1.662| 0.309|    1.006| 0.328|       |
Gaia DR2 4657676287774772608|084.89568654245| 0.4880|-69.15703215517| 0.5853|   -0.2734| 0.5121|    1.231| 1.135|    3.038| 1.329|       |
Gaia DR2 4657676356494238080|084.85874238035| 2.8588|-69.15595245600| 1.7491|          |       |         |      |         |      |       |
Gaia DR2 4657676360777000320|084.87767824133| 0.0287|-69.15731744944| 0.0304|   -0.0853| 0.0302|    1.728| 0.050|    0.583| 0.055|       |
Gaia DR2 4657676360756919936|084.86926894407| 6.1258|-69.15682469573|28.0907|          |       |         |      |         |      |       |
Gaia DR2 4657676356494184960|084.85040381383| 0.6880|-69.14801478348| 0.8400|   -1.5442| 0.6953|    2.499| 1.751|    1.531| 1.901|       |
Gaia DR2 4657676360777460224|084.84340375619| 1.2663|-69.15495025787| 1.8481|   -0.7590| 1.2121|   -7.820| 3.513|    6.283| 3.461|       |
Gaia DR2 4657676356494236160|084.85395148171| 3.7385|-69.15473084178|27.1696|          |       |         |      |         |      |       |
Gaia DR2 4657676360756622080|084.84841657153| 4.7021|-69.15610441851| 3.7718|          |       |         |      |         |      |       |
Gaia DR2 4657676360755489920|084.85427411753| 7.8189|-69.15344242589| 9.9174|          |       |         |      |         |      |       |
Gaia DR2 4657676356459303552|084.86651411807| 0.2207|-69.15688839952| 0.2757|    0.0574| 0.2278|    1.455| 0.493|    0.472| 0.542|       |
Gaia DR2 4657676356439838976|084.86522490407| 0.1799|-69.15113571021| 0.2046|   -0.0170| 0.1865|    1.494| 0.369|    0.881| 0.397|       |
Gaia DR2 4657679105225606528|084.64955610374| 0.2495|-69.15186591853| 0.2614|   -0.1400| 0.2439|    2.344| 0.525|    1.002| 0.525|       |
Gaia DR2 4657679105272814080|084.66466649292| 3.6014|-69.15364961054| 2.8620|          |       |         |      |         |      |       |
Gaia DR2 4657679075196255232|084.64887504161| 0.3207|-69.15701239084| 0.3602|   -0.7371| 0.3342|    0.432| 0.623|   -1.078| 0.667|       |
Gaia DR2 4657679036504742912|084.69946413337| 0.0892|-69.15697653324| 0.1016|    0.1502| 0.0925|    1.491| 0.194|    0.727| 0.199|       |
Gaia DR2 4657679109535532416|084.65467095140| 1.4539|-69.15408639031| 2.5921|          |       |         |      |         |      |       |
Gaia DR2 4657679105272708352|084.67562941204| 0.6141|-69.15358781069| 0.9739|          |       |         |      |         |      |       |
Gaia DR2 4657679105272710784|084.68008944509| 0.4214|-69.15732447128| 0.5685|    0.8981| 0.4485|    1.375| 0.999|    1.340| 1.279|       |
Gaia DR2 4657679105272710272|084.67936894397| 0.2193|-69.15505970004| 0.2780|   -0.1055| 0.2265|    1.487| 0.497|    0.604| 0.592|       |
