#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-09T14:54:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af1e13792ae	
#INFO	-out.max=unlimited	
#INFO	queryParameters=42	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=VFTS 682
#-c.eq=J2000
#-c.r=10
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#e_RA_ICRS=!=
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#e_DE_ICRS=!=
#-out=Source
#-out=Plx
#Plx=<1
#-out=e_Plx
#-out=pmRA
#pmRA=-2..2
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=-2..2
#-out=e_pmDE
#e_pmDE=<=0.1
#-out=epsi
#epsi=<1
#-out=Nper
#Nper=>= 5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RPmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,rm=10.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Nper	(I2)	Number of visibility periods used in Astrometric solution (visibility_periods_used)	[ucd=meta.number]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Nper|Gmag|e_Gmag|RPmag|RV|e_RV
 |deg|mas|deg|mas| |mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|mas| |mag|mag|mag|km/s|km/s
----------------------------|---------------|-------|---------------|-------|-------------------|----------|-------|---------|------|---------|------|------|--|-------|------|-------|-------|-----
Gaia DR2 4657675261265448448|085.04771352722| 0.0377|-69.19688816056| 0.0443|4657675261265448448|    0.0459| 0.0415|    1.570| 0.075|    0.272| 0.085| 0.103|19|16.2894|0.0007|15.3267|       |
Gaia DR2 4657675536143318784|084.92605285222| 0.0245|-69.22456045205| 0.0282|4657675536143318784|   -0.0309| 0.0268|    1.809| 0.048|    0.552| 0.053| 0.000|19|15.4450|0.0012|14.6565|       |
Gaia DR2 4657675604862784000|084.88650363230| 0.0379|-69.23066552669| 0.0442|4657675604862784000|   -0.0805| 0.0412|    1.665| 0.076|    0.604| 0.082| 0.000|19|16.3737|0.0008|15.4166|       |
Gaia DR2 4657675639222508288|084.84981066346| 0.0312|-69.23232056223| 0.0343|4657675639222508288|   -0.0169| 0.0329|    1.681| 0.063|    0.525| 0.064| 0.000|18|15.8719|0.0008|14.8288|       |
Gaia DR2 4657675776661453824|084.84317671188| 0.0394|-69.21372598994| 0.0462|4657675776661453824|   -0.0790| 0.0419|    1.632| 0.078|    0.442| 0.084| 0.148|17|16.0868|0.0008|14.9556|       |
Gaia DR2 4657675948460182400|084.96318944497| 0.0347|-69.19822275877| 0.0418|4657675948460182400|   -0.0146| 0.0372|    1.936| 0.070|    0.568| 0.078| 0.000|19|16.1099|0.0008|15.7858|       |
Gaia DR2 4657675948460175232|084.94030747043| 0.0266|-69.20228965203| 0.0299|4657675948460175232|   -0.0243| 0.0272|    1.651| 0.051|    0.826| 0.055| 0.053|17|15.3076|0.0027|14.8997|       |
Gaia DR2 4657676085899131264|084.97365263656| 0.0368|-69.17630067834| 0.0419|4657676085899131264|   -0.0725| 0.0394|    1.680| 0.073|    0.627| 0.078| 0.000|19|16.2635|0.0007|15.5853|       |
Gaia DR2 4657676051539398528|084.97313843627| 0.0239|-69.19195880162| 0.0277|4657676051539398528|    0.0275| 0.0253|    1.831| 0.051|    0.831| 0.052| 0.000|18|15.3104|0.0005|15.0007|       |
Gaia DR2 4657676085899134720|084.97387711688| 0.0398|-69.18396413458| 0.0461|4657676085899134720|    0.1138| 0.0429|    1.923| 0.080|    0.803| 0.086| 0.165|19|16.2498|0.0011|16.0184|       |
Gaia DR2 4657675982820112384|084.98370083155| 0.0433|-69.20139548426| 0.0478|4657675982820112384|    0.0136| 0.0443|    1.463| 0.088|    0.235| 0.089| 0.119|18|16.4229|0.0007|15.7661|       |
Gaia DR2 4657675982819936384|084.99683496989| 0.0278|-69.20189307705| 0.0334|4657675982819936384|    0.0249| 0.0322|    1.784| 0.054|    0.572| 0.060| 0.000|19|15.5967|0.0008|15.0565|       |
Gaia DR2 4657676017179684096|085.02926185831| 0.0228|-69.19485760045| 0.0258|4657676017179684096|    0.0009| 0.0248|    1.842| 0.044|    0.679| 0.049| 0.205|19|13.9139|0.0007|12.8014|       |
Gaia DR2 4657676154618594816|084.91458998952| 0.0265|-69.19646224388| 0.0284|4657676154618594816|    0.0381| 0.0286|    1.747| 0.051|    0.672| 0.053| 0.251|18|13.3458|0.0019|12.1577|       |
Gaia DR2 4657676154618595968|084.92411399810| 0.0269|-69.19194495114| 0.0304|4657676154618595968|   -0.0815| 0.0278|    1.834| 0.052|    0.538| 0.055| 0.235|17|13.3953|0.0019|12.2221| 254.07| 0.63
Gaia DR2 4657676154618599680|084.92790073462| 0.0378|-69.19761532090| 0.0446|4657676154618599680|   -0.0959| 0.0414|    1.777| 0.074|    0.555| 0.084| 0.000|17|16.1531|0.0020|15.6020|       |
Gaia DR2 4657676120258851328|084.90205053900| 0.0385|-69.20009374130| 0.0441|4657676120258851328|   -0.0558| 0.0441|    1.738| 0.075|    0.729| 0.083| 0.000|19|16.2658|0.0039|15.8088|       |
Gaia DR2 4657676154597113472|084.91424658866| 0.0365|-69.19778865266| 0.0393|4657676154597113472|    0.0285| 0.0385|    1.932| 0.071|    0.545| 0.074| 0.312|18|13.0477|0.0061|11.8480| 249.67| 1.88
Gaia DR2 4657676188978307328|084.84919466139| 0.0266|-69.18180995202| 0.0304|4657676188978307328|   -0.0577| 0.0286|    1.640| 0.053|    0.689| 0.056| 0.000|19|15.3904|0.0005|14.9768|       |
Gaia DR2 4657676154618592640|084.91801421082| 0.0283|-69.19551652710| 0.0321|4657676154618592640|   -0.0543| 0.0304|    1.702| 0.055|    0.701| 0.059| 0.201|19|15.1760|0.0006|14.7792|       |
Gaia DR2 4657676154618593024|084.91339700311| 0.0362|-69.19492292420| 0.0438|4657676154618593024|    0.0148| 0.0400|    1.932| 0.072|    0.565| 0.079| 0.000|19|16.1797|0.0014|15.6558|       |
Gaia DR2 4657676154618590720|084.90804281094| 0.0291|-69.19619095580| 0.0310|4657676154618590720|   -0.1445| 0.0330|    1.433| 0.053|    0.490| 0.056| 0.000|18|12.5010|0.0010|11.8789|       |
Gaia DR2 4657676154597119744|084.91365013630| 0.0343|-69.19561324561| 0.0373|4657676154597119744|    0.0222| 0.0356|    1.337| 0.074|    0.629| 0.069| 0.237|17|15.3208|0.0014|       |       |
Gaia DR2 4657676120258857472|084.91518446662| 0.0224|-69.20037972296| 0.0250|4657676120258857472|   -0.0298| 0.0240|    1.756| 0.044|    0.613| 0.046| 0.000|19|15.0786|0.0008|14.5925|       |
Gaia DR2 4657676120258858880|084.91612645236| 0.0167|-69.20120208654| 0.0181|4657676120258858880|    0.0300| 0.0177|    1.673| 0.032|    0.624| 0.033| 0.027|19|12.9927|0.0015|12.6461|       |
Gaia DR2 4657676360776998656|084.87272710958| 0.0422|-69.15636090457| 0.0489|4657676360776998656|   -0.1149| 0.0444|    1.495| 0.085|    0.651| 0.089| 0.000|17|16.2368|0.0011|15.7432|       |
Gaia DR2 4657676360777000320|084.87767824133| 0.0287|-69.15731744944| 0.0304|4657676360777000320|   -0.0853| 0.0302|    1.728| 0.050|    0.583| 0.055| 0.086|15|14.6464|0.0005|14.5040|       |
Gaia DR2 4657676257697795968|084.89640451046| 0.0404|-69.17520294661| 0.0489|4657676257697795968|   -0.0614| 0.0456|    1.463| 0.081|    0.562| 0.098| 0.000|19|16.2886|0.0010|15.7624|       |
Gaia DR2 4657676253413058816|084.93184368832| 0.0297|-69.17768475852| 0.0338|4657676253413058816|   -0.0347| 0.0328|    1.830| 0.058|    0.645| 0.060| 0.000|19|15.7426|0.0011|14.7523|       |
