#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-08T18:27:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af1e13792ae	
#INFO	-out.max=unlimited	
#INFO	queryParameters=33	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=VFTS682
#-c.eq=J2000
#-c.r=10
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=epsi
#epsi=<1
#-out=Nper
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RPmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,rm=10.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Nper	(I2)	Number of visibility periods used in Astrometric solution (visibility_periods_used)	[ucd=meta.number]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Nper|Gmag|e_Gmag|RPmag|RV|e_RV
 |deg|mas|deg|mas| |mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|mas| |mag|mag|mag|km/s|km/s
----------------------------|---------------|-------|---------------|-------|-------------------|----------|-------|---------|------|---------|------|------|--|-------|------|-------|-------|-----
Gaia DR2 4657675261265448448|085.04771352722| 0.0377|-69.19688816056| 0.0443|4657675261265448448|    0.0459| 0.0415|    1.570| 0.075|    0.272| 0.085| 0.103|19|16.2894|0.0007|15.3267|       |
Gaia DR2 4657675536143318784|084.92605285222| 0.0245|-69.22456045205| 0.0282|4657675536143318784|   -0.0309| 0.0268|    1.809| 0.048|    0.552| 0.053| 0.000|19|15.4450|0.0012|14.6565|       |
Gaia DR2 4657675604862784000|084.88650363230| 0.0379|-69.23066552669| 0.0442|4657675604862784000|   -0.0805| 0.0412|    1.665| 0.076|    0.604| 0.082| 0.000|19|16.3737|0.0008|15.4166|       |
Gaia DR2 4657675639222508288|084.84981066346| 0.0312|-69.23232056223| 0.0343|4657675639222508288|   -0.0169| 0.0329|    1.681| 0.063|    0.525| 0.064| 0.000|18|15.8719|0.0008|14.8288|       |
Gaia DR2 4657675669242387584|084.86525976422| 0.0577|-69.23144542899| 0.0673|4657675669242387584|   -0.2208| 0.0626|    1.640| 0.116|    0.704| 0.126| 0.345|19|16.7988|0.0010|16.4021|       |
Gaia DR2 4657675703602199808|084.88211447596| 0.0508|-69.21578432576| 0.0594|4657675703602199808|   -0.0701| 0.0548|    1.842| 0.103|    0.939| 0.111| 0.000|19|16.9056|0.0011|15.8085|       |
Gaia DR2 4657675776661458304|084.85698232871| 0.0532|-69.21262747623| 0.0680|4657675776661458304|   -0.0459| 0.0626|    1.374| 0.108|    0.594| 0.116| 0.169|18|16.7971|0.0011|16.4807|       |
Gaia DR2 4657675776661465856|084.87167106321| 0.0507|-69.22409315667| 0.0608|4657675776661465856|   -0.0792| 0.0568|    2.029| 0.098|    0.670| 0.112| 0.327|18|16.4257|0.0337|15.1438|       |
Gaia DR2 4657675776661456640|084.85298171517| 0.0530|-69.21099280866| 0.0555|4657675776661456640|    0.0498| 0.0543|    1.804| 0.102|    0.606| 0.098| 0.188|19|16.5011|0.0033|16.0892|       |
Gaia DR2 4657675742301723904|084.88105327367| 0.0758|-69.20317954005| 0.0907|4657675742301723904|    0.0560| 0.0846|    2.339| 0.146|    1.420| 0.160| 0.695|19|16.1715|0.0057|15.6492|       |
Gaia DR2 4657675776661453824|084.84317671188| 0.0394|-69.21372598994| 0.0462|4657675776661453824|   -0.0790| 0.0419|    1.632| 0.078|    0.442| 0.084| 0.148|17|16.0868|0.0008|14.9556|       |
Gaia DR2 4657675707941990400|084.87868924776| 0.0570|-69.22158828326| 0.0670|4657675707941990400|   -0.0044| 0.0625|    1.709| 0.114|    0.745| 0.129| 0.367|19|16.6546|0.0012|16.1817|       |
Gaia DR2 4657675742301727616|084.89009474728| 0.0150|-69.20653500710| 0.0164|4657675742301727616|    1.0002| 0.0157|   -5.059| 0.029|    2.027| 0.030| 0.000|19|13.5990|0.0002|13.1387|       |
Gaia DR2 4657675707942004224|084.90766567477| 0.0473|-69.22583941168| 0.0630|4657675707942004224|   -0.0510| 0.0508|    2.035| 0.096|    0.304| 0.118| 0.000|18|16.7030|0.0011|16.1965|       |
Gaia DR2 4657675707942003584|084.90819592519| 0.0500|-69.22406684807| 0.0601|4657675707942003584|    0.5010| 0.0538|   -3.741| 0.102|    2.034| 0.113| 0.000|19|16.8443|0.0008|16.0711|       |
Gaia DR2 4657675948460182400|084.96318944497| 0.0347|-69.19822275877| 0.0418|4657675948460182400|   -0.0146| 0.0372|    1.936| 0.070|    0.568| 0.078| 0.000|19|16.1099|0.0008|15.7858|       |
Gaia DR2 4657675948460175232|084.94030747043| 0.0266|-69.20228965203| 0.0299|4657675948460175232|   -0.0243| 0.0272|    1.651| 0.051|    0.826| 0.055| 0.053|17|15.3076|0.0027|14.8997|       |
Gaia DR2 4657675948460175360|084.94932538325| 0.0347|-69.19420628036| 0.0401|4657675948460175360|    0.3104| 0.0377|    2.171| 0.069|    4.488| 0.074| 0.000|19|16.1439|0.0007|15.6115|       |
Gaia DR2 4657676051539399808|084.97970184702| 0.0506|-69.18947794521| 0.0611|4657676051539399808|    0.0247| 0.0540|    1.930| 0.102|    0.641| 0.116| 0.211|19|16.6701|0.0011|16.4130|       |
Gaia DR2 4657676085899131264|084.97365263656| 0.0368|-69.17630067834| 0.0419|4657676085899131264|   -0.0725| 0.0394|    1.680| 0.073|    0.627| 0.078| 0.000|19|16.2635|0.0007|15.5853|       |
Gaia DR2 4657676051539398528|084.97313843627| 0.0239|-69.19195880162| 0.0277|4657676051539398528|    0.0275| 0.0253|    1.831| 0.051|    0.831| 0.052| 0.000|18|15.3104|0.0005|15.0007|       |
Gaia DR2 4657676085899134720|084.97387711688| 0.0398|-69.18396413458| 0.0461|4657676085899134720|    0.1138| 0.0429|    1.923| 0.080|    0.803| 0.086| 0.165|19|16.2498|0.0011|16.0184|       |
Gaia DR2 4657675982820112384|084.98370083155| 0.0433|-69.20139548426| 0.0478|4657675982820112384|    0.0136| 0.0443|    1.463| 0.088|    0.235| 0.089| 0.119|18|16.4229|0.0007|15.7661|       |
Gaia DR2 4657675982819936384|084.99683496989| 0.0278|-69.20189307705| 0.0334|4657675982819936384|    0.0249| 0.0322|    1.784| 0.054|    0.572| 0.060| 0.000|19|15.5967|0.0008|15.0565|       |
Gaia DR2 4657676017179684096|085.02926185831| 0.0228|-69.19485760045| 0.0258|4657676017179684096|    0.0009| 0.0248|    1.842| 0.044|    0.679| 0.049| 0.205|19|13.9139|0.0007|12.8014|       |
Gaia DR2 4657676051539392768|084.95482242777| 0.0803|-69.19504513800| 0.0938|4657676051539392768|    0.1715| 0.0887|    1.530| 0.159|    0.664| 0.175| 0.704|19|16.8080|0.0017|16.0708|       |
Gaia DR2 4657676154618594816|084.91458998952| 0.0265|-69.19646224388| 0.0284|4657676154618594816|    0.0381| 0.0286|    1.747| 0.051|    0.672| 0.053| 0.251|18|13.3458|0.0019|12.1577|       |
Gaia DR2 4657676154618595968|084.92411399810| 0.0269|-69.19194495114| 0.0304|4657676154618595968|   -0.0815| 0.0278|    1.834| 0.052|    0.538| 0.055| 0.235|17|13.3953|0.0019|12.2221| 254.07| 0.63
Gaia DR2 4657676188956816512|084.85727708759| 0.0430|-69.19334368158| 0.0555|4657676188956816512|    0.9841| 0.0636|    1.156| 0.082|    6.359| 0.094| 0.000|12|10.4709|0.0004| 9.8185|  29.48| 0.17
Gaia DR2 4657676154618598784|084.92421882804| 0.0462|-69.19686904058| 0.0549|4657676154618598784|    0.9219| 0.0481|    8.373| 0.093|   19.081| 0.101| 0.226|17|16.3389|0.0011|15.4087|       |
