#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-09T10:52:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af1e13792ae	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=VFTS 682
#-c.eq=J2000
#-c.r=10
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#e_pmRA=<0.07
#-out=pmDE
#-out=e_pmDE
#e_pmDE=<0.07
#-out=epsi
#epsi=<1
#-out=Nper
#Nper=>=5
#-out=Gmag
#-out=e_Gmag
#-out=RPmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,rm=10.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Nper	(I2)	Number of visibility periods used in Astrometric solution (visibility_periods_used)	[ucd=meta.number]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Nper|Gmag|e_Gmag|RPmag|RV|e_RV
 |deg|mas|deg|mas| |mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|mas| |mag|mag|mag|km/s|km/s
----------------------------|---------------|-------|---------------|-------|-------------------|----------|-------|---------|------|---------|------|------|--|-------|------|-------|-------|-----
Gaia DR2 4657675536143318784|084.92605285222| 0.0245|-69.22456045205| 0.0282|4657675536143318784|   -0.0309| 0.0268|    1.809| 0.048|    0.552| 0.053| 0.000|19|15.4450|0.0012|14.6565|       |
Gaia DR2 4657675639222508288|084.84981066346| 0.0312|-69.23232056223| 0.0343|4657675639222508288|   -0.0169| 0.0329|    1.681| 0.063|    0.525| 0.064| 0.000|18|15.8719|0.0008|14.8288|       |
Gaia DR2 4657675742301727616|084.89009474728| 0.0150|-69.20653500710| 0.0164|4657675742301727616|    1.0002| 0.0157|   -5.059| 0.029|    2.027| 0.030| 0.000|19|13.5990|0.0002|13.1387|       |
Gaia DR2 4657675948460175232|084.94030747043| 0.0266|-69.20228965203| 0.0299|4657675948460175232|   -0.0243| 0.0272|    1.651| 0.051|    0.826| 0.055| 0.053|17|15.3076|0.0027|14.8997|       |
Gaia DR2 4657676051539398528|084.97313843627| 0.0239|-69.19195880162| 0.0277|4657676051539398528|    0.0275| 0.0253|    1.831| 0.051|    0.831| 0.052| 0.000|18|15.3104|0.0005|15.0007|       |
Gaia DR2 4657675982819936384|084.99683496989| 0.0278|-69.20189307705| 0.0334|4657675982819936384|    0.0249| 0.0322|    1.784| 0.054|    0.572| 0.060| 0.000|19|15.5967|0.0008|15.0565|       |
Gaia DR2 4657676017179684096|085.02926185831| 0.0228|-69.19485760045| 0.0258|4657676017179684096|    0.0009| 0.0248|    1.842| 0.044|    0.679| 0.049| 0.205|19|13.9139|0.0007|12.8014|       |
Gaia DR2 4657676154618594816|084.91458998952| 0.0265|-69.19646224388| 0.0284|4657676154618594816|    0.0381| 0.0286|    1.747| 0.051|    0.672| 0.053| 0.251|18|13.3458|0.0019|12.1577|       |
Gaia DR2 4657676154618595968|084.92411399810| 0.0269|-69.19194495114| 0.0304|4657676154618595968|   -0.0815| 0.0278|    1.834| 0.052|    0.538| 0.055| 0.235|17|13.3953|0.0019|12.2221| 254.07| 0.63
Gaia DR2 4657676188978307328|084.84919466139| 0.0266|-69.18180995202| 0.0304|4657676188978307328|   -0.0577| 0.0286|    1.640| 0.053|    0.689| 0.056| 0.000|19|15.3904|0.0005|14.9768|       |
Gaia DR2 4657676154618592640|084.91801421082| 0.0283|-69.19551652710| 0.0321|4657676154618592640|   -0.0543| 0.0304|    1.702| 0.055|    0.701| 0.059| 0.201|19|15.1760|0.0006|14.7792|       |
Gaia DR2 4657676154618590720|084.90804281094| 0.0291|-69.19619095580| 0.0310|4657676154618590720|   -0.1445| 0.0330|    1.433| 0.053|    0.490| 0.056| 0.000|18|12.5010|0.0010|11.8789|       |
Gaia DR2 4657676120258857472|084.91518446662| 0.0224|-69.20037972296| 0.0250|4657676120258857472|   -0.0298| 0.0240|    1.756| 0.044|    0.613| 0.046| 0.000|19|15.0786|0.0008|14.5925|       |
Gaia DR2 4657676120258858880|084.91612645236| 0.0167|-69.20120208654| 0.0181|4657676120258858880|    0.0300| 0.0177|    1.673| 0.032|    0.624| 0.033| 0.027|19|12.9927|0.0015|12.6461|       |
Gaia DR2 4657676360777000320|084.87767824133| 0.0287|-69.15731744944| 0.0304|4657676360777000320|   -0.0853| 0.0302|    1.728| 0.050|    0.583| 0.055| 0.086|15|14.6464|0.0005|14.5040|       |
Gaia DR2 4657676253413058816|084.93184368832| 0.0297|-69.17768475852| 0.0338|4657676253413058816|   -0.0347| 0.0328|    1.830| 0.058|    0.645| 0.060| 0.000|19|15.7426|0.0011|14.7523|       |
Gaia DR2 4657677185410711936|084.76777234244| 0.0254|-69.22529669916| 0.0279|4657677185410711936|    1.4795| 0.0290|   -0.844| 0.048|    6.243| 0.052| 0.000|17|11.0821|0.0003|10.4537| -21.15| 0.78
Gaia DR2 4657677735166451712|084.55156332039| 0.0311|-69.22714409788| 0.0329|4657677735166451712|   -0.0637| 0.0313|    1.738| 0.058|    0.716| 0.065| 0.000|18|15.7094|0.0006|15.1447|       |
Gaia DR2 4657678078763839104|084.58746961885| 0.0314|-69.20589295712| 0.0348|4657678078763839104|    0.0058| 0.0326|    1.989| 0.059|    0.908| 0.067| 0.089|18|15.6279|0.0010|14.5633|       |
Gaia DR2 4657678250562514944|084.55538371117| 0.0315|-69.18858391743| 0.0339|4657678250562514944|   -0.0144| 0.0330|    1.637| 0.059|    0.759| 0.066| 0.116|18|15.4228|0.0007|15.2245|       |
Gaia DR2 4657678284922261120|084.57916326391| 0.0277|-69.18686123398| 0.0318|4657678284922261120|   -0.0410| 0.0292|    1.739| 0.055|    0.604| 0.061| 0.000|18|15.4570|0.0006|15.0077|       |
Gaia DR2 4657678284922259200|084.57614304209| 0.0297|-69.18509281243| 0.0334|4657678284922259200|    0.0472| 0.0310|    1.620| 0.059|    0.543| 0.064| 0.099|18|15.4800|0.0007|15.3185|       |
Gaia DR2 4657678388001439872|084.47158608912| 0.0163|-69.19749878951| 0.0161|4657678388001439872|    1.8087| 0.0170|    1.014| 0.030|   -7.438| 0.032| 0.000|18|13.7473|0.0003|13.1722|       |
Gaia DR2 4657678319281974528|084.49607293651| 0.0192|-69.19908352701| 0.0201|4657678319281974528|   -0.0405| 0.0193|    1.623| 0.036|    0.671| 0.039| 0.000|18|14.4824|0.0006|14.1757|       |
Gaia DR2 4657678388001420416|084.44356730754| 0.0206|-69.18801926230| 0.0220|4657678388001420416|    1.0360| 0.0220|   -0.720| 0.039|    4.018| 0.043| 0.000|17|14.5065|0.0003|13.9573|       |
Gaia DR2 4657678388001418752|084.44128712312| 0.0267|-69.18589598189| 0.0308|4657678388001418752|    0.0105| 0.0293|    1.788| 0.051|    0.603| 0.060| 0.000|18|15.3333|0.0007|14.8627|       |
Gaia DR2 4657678422361160448|084.45801144568| 0.0316|-69.17440888339| 0.0341|4657678422361160448|   -0.0765| 0.0334|    1.541| 0.063|    0.823| 0.069| 0.235|18|14.5068|0.0005|14.2327|       |
Gaia DR2 4657678388001446016|084.48426917958| 0.0201|-69.19743386841| 0.0211|4657678388001446016|   -0.0006| 0.0204|    1.735| 0.037|    0.677| 0.041| 0.000|18|14.6313|0.0007|14.2679|       |
Gaia DR2 4657678525440383104|084.47897997105| 0.0285|-69.17013678913| 0.0306|4657678525440383104|   -0.0632| 0.0290|    1.778| 0.059|    0.808| 0.060| 0.165|17|14.8227|0.0018|14.5377|       |
Gaia DR2 4657678491080993664|084.50239465169| 0.0197|-69.16153034690| 0.0205|4657678491080993664|    0.0049| 0.0191|    1.739| 0.039|    0.705| 0.039| 0.000|17|14.0800|0.0005|13.0634|       |
