#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-09T11:28:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af1e13792ae	
#INFO	-out.max=1000	
#INFO	queryParameters=40	
#-oc.form=dec
#-out.max=1000
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=VFTS 682
#-c.eq=J2000
#-c.r=10
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#e_RA_ICRS=!=
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#e_DE_ICRS=!=
#-out=Source
#-out=Plx
#-out=e_Plx
#-out=pmRA
#pmRA=!= , <2 , >-2
#-out=e_pmRA
#e_pmRA=!= , <0.07
#-out=pmDE
#pmDE=!= , <2
#-out=e_pmDE
#e_pmDE=!= , <0.07
#-out=epsi
#epsi=!= , <1
#-out=Nper
#Nper=!= , >=5
#-out=Gmag
#-out=e_Gmag
#-out=RPmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,rm=10.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Nper	(I2)	Number of visibility periods used in Astrometric solution (visibility_periods_used)	[ucd=meta.number]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Nper|Gmag|e_Gmag|RPmag|RV|e_RV
 |deg|mas|deg|mas| |mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|mas| |mag|mag|mag|km/s|km/s
----------------------------|---------------|-------|---------------|-------|-------------------|----------|-------|---------|------|---------|------|------|--|-------|------|-------|-------|-----
Gaia DR2 4657675256980736768|085.04067140734| 0.6562|-69.19902253607| 0.8101|4657675256980736768|   -1.4241| 0.6874|   -2.581| 1.616|    2.081| 2.142| 0.000|16|20.5681|0.0099|19.0014|       |
Gaia DR2 4657675256980736896|085.04065685699| 0.8942|-69.19478535590| 0.9448|4657675256980736896|   -0.0894| 0.9250|   -3.404| 2.110|    4.014| 2.438| 0.000|13|20.7114|0.0119|19.0857|       |
Gaia DR2 4657675256980982400|085.04379757987| 1.0997|-69.19385755044| 1.3465|4657675256980982400|   -4.2050| 1.2224|    3.884| 2.819|    4.730| 3.233| 2.393|15|20.8324|0.0165|19.0388|       |
Gaia DR2 4657675261265448448|085.04771352722| 0.0377|-69.19688816056| 0.0443|4657675261265448448|    0.0459| 0.0415|    1.570| 0.075|    0.272| 0.085| 0.103|19|16.2894|0.0007|15.3267|       |
Gaia DR2 4657675256948231168|085.03345060031| 1.2139|-69.19230500740| 1.1553|4657675256948231168|    1.4325| 1.2174|    9.038| 2.334|   -1.331| 2.945| 2.862|14|20.7335|0.0143|       |       |
Gaia DR2 4657675261265443072|085.03642666413| 0.0677|-69.19536460637| 0.0817|4657675261265443072|   -0.0154| 0.0755|    1.729| 0.138|    0.795| 0.165| 0.258|19|17.2630|0.0011|16.1795|       |
Gaia DR2 4657675256980666496|085.04050144329| 0.4977|-69.19393892547| 0.6334|4657675256980666496|    0.1493| 0.5492|    1.620| 1.170|   -0.747| 1.612| 0.000|18|20.2852|0.0070|18.6846|       |
Gaia DR2 4657675256948255616|085.04120119155| 0.3004|-69.19724177381| 0.3547|4657675256948255616|   -0.0777| 0.3095|    1.379| 0.657|   -1.566| 0.768| 0.000|18|19.5809|0.0042|18.2781|       |
Gaia DR2 4657675261244009088|085.03226448566| 0.2416|-69.19475674832| 0.2891|4657675261244009088|   -0.0824| 0.2578|    2.077| 0.533|    0.698| 0.593| 0.881|18|19.1757|0.0040|17.6653|       |
Gaia DR2 4657675531825775744|084.92877863847| 0.9395|-69.22229109166| 1.0857|4657675531825775744|    1.9233| 0.9644|    2.462| 2.142|   -1.863| 2.641| 0.000|13|20.7695|0.0148|       |       |
Gaia DR2 4657675531858514944|084.94484385932| 0.1020|-69.22071185651| 0.1205|4657675531858514944|    0.3453| 0.1094|    4.092| 0.219|   14.447| 0.216| 0.000|18|17.8976|0.0015|17.0651|       |
Gaia DR2 4657675531825820800|084.94188549017| 0.2087|-69.22165841395| 0.2657|4657675531825820800|   -0.2430| 0.2372|    1.275| 0.435|    0.967| 0.477| 0.573|19|19.0156|0.0026|17.9387|       |
Gaia DR2 4657675536143678976|084.93834522708| 0.7520|-69.22286464317| 1.0849|4657675536143678976|    0.4290| 0.7974|    3.696| 1.887|   -1.584| 2.302| 0.000|14|20.6476|0.0105|18.7352|       |
Gaia DR2 4657675536143318784|084.92605285222| 0.0245|-69.22456045205| 0.0282|4657675536143318784|   -0.0309| 0.0268|    1.809| 0.048|    0.552| 0.053| 0.000|19|15.4450|0.0012|14.6565|       |
Gaia DR2 4657675531858554624|084.93862133424| 0.7422|-69.21880067027| 0.9382|4657675531858554624|   -0.8848| 0.7820|    0.305| 2.209|    0.193| 2.175| 0.000|15|20.6674|0.0106|18.5645|       |
Gaia DR2 4657675531858553216|084.93376551893| 0.4217|-69.21752264681| 0.5040|4657675531858553216|   -0.7749| 0.4280|    0.056| 1.049|    2.695| 1.045| 0.000|18|20.0426|0.0066|18.3627|       |
Gaia DR2 4657675737984204928|084.92814353131| 0.9820|-69.21395961189| 1.5522|4657675737984204928|    1.3956| 1.0491|    4.316| 2.290|   -6.053| 3.023| 0.000|12|20.7633|0.0121|       |       |
Gaia DR2 4657675531825795200|084.93398095821| 0.2354|-69.22109398558| 0.2883|4657675531825795200|    0.2455| 0.2512|    2.115| 0.508|    0.646| 0.557| 0.893|18|19.1480|0.0039|18.1829|       |
Gaia DR2 4657675536122537472|084.94794661747| 0.6831|-69.22184738613| 0.9183|4657675536122537472|    0.7845| 0.7396|    2.921| 1.667|   -0.114| 1.850| 0.000|17|20.6190|0.0104|18.8061|       |
Gaia DR2 4657675531812743680|084.94744427991| 0.1615|-69.21990517650| 0.1979|4657675531812743680|    0.5690| 0.1695|    1.709| 0.354|    0.508| 0.362| 0.000|17|18.5704|0.0022|17.5308|       |
Gaia DR2 4657674157414640512|084.82485055768| 0.0752|-69.23710248847| 0.0884|4657674157414640512|   -0.1091| 0.0801|    1.741| 0.156|    0.746| 0.169| 0.000|18|17.5562|0.0013|16.9495|       |
Gaia DR2 4657675669264471680|084.84533504432| 0.4012|-69.22472698750| 0.5368|4657675669264471680|   -0.2721| 0.4340|   -0.645| 0.891|    0.747| 1.024| 1.172|19|19.9828|0.0078|18.2618|       |
Gaia DR2 4657675600532218752|084.87560146626| 0.2627|-69.23249839351| 0.3407|4657675600532218752|    0.7537| 0.2883|    0.013| 0.571|    5.248| 0.616| 0.973|17|19.3040|0.0037|17.8093|       |
Gaia DR2 4657675634882648576|084.84515709861| 0.0881|-69.23088477709| 0.1052|4657675634882648576|    0.0206| 0.0945|    1.479| 0.183|    0.419| 0.198| 0.263|19|17.7582|0.0019|16.9346|       |
Gaia DR2 4657675669297347328|084.82986191848| 0.5990|-69.22170107296| 0.7483|4657675669297347328|    0.1348| 0.5979|    2.183| 1.604|   -0.390| 1.507| 0.000|16|20.3537|0.0096|18.7701|       |
Gaia DR2 4657675673560751232|084.84022822853| 0.4828|-69.22437924703| 0.5226|4657675673560751232|    1.8851| 0.5109|    7.559| 0.947|    8.826| 1.017| 3.753|18|19.3540|0.0083|17.9684|       |
Gaia DR2 4657675639201011968|084.83338648997| 0.1841|-69.22918526540| 0.2293|4657675639201011968|    0.1650| 0.1994|    2.035| 0.394|    0.296| 0.451| 0.729|19|18.8513|0.0028|17.6371|       |
Gaia DR2 4657675669297536896|084.85327709300| 0.6114|-69.23030168467| 0.7677|4657675669297536896|   -0.5538| 0.6439|    2.195| 1.480|    1.052| 1.623| 0.000|16|20.4466|0.0086|       |       |
Gaia DR2 4657675669264480000|084.84873695747| 0.4705|-69.22300101947| 0.5877|4657675669264480000|   -0.5148| 0.4522|    1.149| 1.091|    1.392| 1.145| 0.000|18|20.1266|0.0070|18.8027|       |
