#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-01T10:19:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6c6f14a55	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&pos:VFTS 682( 10 arcmin J2000)&HTTPPRM:&&-ref=VIZ5ae6c6f14a55&-oc.form=dec&-c=VFTS 682&-c.r=10&-c.geom=r&-order=I&-out.orig=orig&-out=DR2Name&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=RV&-out=e_RV&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=| -Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c=R136a
#-c.eq=J2000
#-c.r=25
#-c.u=arcsec
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=designation
#-out=ra
#-out=ra_error
#-out=dec
#-out=dec_error
#-out=parallax
#-out=parallax_error
#-out=pmra
#-out=pmra_error
#-out=pmdec
#-out=pmdec_error
#-out=radial_velocity
#-out=radial_velocity_error
#
#INFO	-c=084.680420-69.102220,bs=25.000000/25.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV
 |deg|mas|deg|mas|mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|km/s|km/s
----------------------------|---------------|-------|---------------|-------|----------|-------|---------|------|---------|------|-------|-----
Gaia DR2 4657679659290057216|084.69003840489| 0.1217|-69.10524859538| 0.1654|   -0.1538| 0.1462|    2.373| 0.222|    3.417| 0.424|       |
Gaia DR2 4657679659312985344|084.67923492839| 1.9770|-69.10390154286| 5.3990|          |       |         |      |         |      |       |
Gaia DR2 4657679659312985472|084.67892186749| 1.0103|-69.10380561303| 0.9514|          |       |         |      |         |      |       |
Gaia DR2 4657679659290058240|084.68699729858| 0.2067|-69.10488566897| 0.2835|    0.7705| 0.2576|    3.407| 0.378|    1.143| 0.473|       |
Gaia DR2 4657679659312982528|084.67241342587| 1.3808|-69.10222957160| 2.5326|          |       |         |      |         |      |       |
Gaia DR2 4657679659312982656|084.67206883781| 1.0290|-69.10189192773| 1.2257|          |       |         |      |         |      |       |
Gaia DR2 4657679655028441856|084.67192323831| 0.0807|-69.10474447754| 0.0897|   -0.0974| 0.0855|    1.814| 0.157|    1.424| 0.173|       |
Gaia DR2 4657679659292382848|084.67866563143| 8.7986|-69.10363613077| 3.8649|          |       |         |      |         |      |       |
Gaia DR2 4657679659312992384|084.67190265411| 0.4261|-69.10512284020| 0.2021|    1.5129| 0.2845|    4.369| 0.726|   -1.456| 0.371|       |
Gaia DR2 4657679659312967552|084.67171562965| 1.3805|-69.10314137521| 1.5485|          |       |         |      |         |      |       |
Gaia DR2 4657679659312991488|084.67097477847| 0.2083|-69.10467879825| 0.2611|   -1.3727| 0.2068|    2.665| 0.454|    4.991| 0.606|       |
Gaia DR2 4657679654981428736|084.67572953690| 2.3516|-69.10533083890| 1.3399|          |       |         |      |         |      |       |
Gaia DR2 4657679659312988416|084.67799117610| 3.2988|-69.10334706651| 1.5519|          |       |         |      |         |      |       |
Gaia DR2 4657679659312988544|084.67691244895|25.1896|-69.10284981679| 7.3902|          |       |         |      |         |      |       |
Gaia DR2 4657679659292392960|084.67229531418| 0.0539|-69.10391392627| 0.0600|   -0.0472| 0.0560|    1.649| 0.111|    1.220| 0.121|       |
Gaia DR2 4657679659312988928|084.67526539041| 1.1742|-69.10247958754| 0.5742|          |       |         |      |         |      |       |
Gaia DR2 4657679659290058880|084.68785587605| 1.5420|-69.10560958211| 1.4505|          |       |         |      |         |      |       |
Gaia DR2 4657679659292387456|084.67507569034| 0.0533|-69.10469109694| 0.0490|    0.0364| 0.0491|    1.789| 0.093|    0.191| 0.095|       |
Gaia DR2 4657679659292388224|084.67400842152| 0.3862|-69.10531106388| 0.3864|   -1.0909| 0.3943|   -2.711| 0.671|   -4.840| 0.758|       |
Gaia DR2 4657679659312956160|084.67616538306| 0.7919|-69.10320514020| 0.4018|          |       |         |      |         |      |       |
Gaia DR2 4657679659312999168|084.68110488605| 0.5953|-69.10394412436| 5.4018|          |       |         |      |         |      |       |
Gaia DR2 4657679659312999296|084.68003324416| 0.0387|-69.10402943402| 0.0445|    0.1933| 0.0406|    1.966| 0.073|    1.200| 0.085|       |
Gaia DR2 4657679659313000064|084.68050696775| 0.4820|-69.10325427512| 0.8429|          |       |         |      |         |      |       |
Gaia DR2 4657679659312997248|084.68201303007| 0.4872|-69.10326638617| 0.5151|   -2.6804| 0.3917|    4.805| 0.781|    1.820| 0.845|       |
Gaia DR2 4657679659312997760|084.67187043807| 0.7321|-69.10374117235| 0.5476|          |       |         |      |         |      |       |
Gaia DR2 4657679659312998144|084.68028610294| 0.0788|-69.10460599507| 0.0958|    0.3514| 0.0882|    1.579| 0.149|    0.486| 0.177|       |
