#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-09T11:44:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af1e13792ae	
#INFO	-out.max=unlimited	
#INFO	queryParameters=40	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=R136a
#-c.eq=J2000
#-c.r=25
#-c.u=arcsec
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#e_RA_ICRS=!=
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#e_DE_ICRS=!=
#-out=Source
#-out=Plx
#-out=e_Plx
#-out=pmRA
#pmRA=-2..2
#-out=e_pmRA
#e_pmRA=<0.1
#-out=pmDE
#pmDE=-2..2
#-out=e_pmDE
#e_pmDE=<0.1
#-out=epsi
#epsi=<1
#-out=Nper
#Nper=>=5
#-out=Gmag
#-out=e_Gmag
#-out=RPmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.680420-69.102220,rs=25.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Nper	(I2)	Number of visibility periods used in Astrometric solution (visibility_periods_used)	[ucd=meta.number]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Nper|Gmag|e_Gmag|RPmag|RV|e_RV
 |deg|mas|deg|mas| |mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|mas| |mag|mag|mag|km/s|km/s
----------------------------|---------------|-------|---------------|-------|-------------------|----------|-------|---------|------|---------|------|------|--|-------|------|-------|-------|-----
Gaia DR2 4657679659311708544|084.67475028034| 0.0283|-69.10826514396| 0.0284|4657679659311708544|   -0.0329| 0.0265|    1.931| 0.055|    0.778| 0.054| 0.077|15|14.9988|0.0009|14.3616|       |
Gaia DR2 4657679659292387456|084.67507569034| 0.0533|-69.10469109694| 0.0490|4657679659292387456|    0.0364| 0.0491|    1.789| 0.093|    0.191| 0.095| 0.328|14|15.3705|0.0027|       |       |
Gaia DR2 4657679659312999296|084.68003324416| 0.0387|-69.10402943402| 0.0445|4657679659312999296|    0.1933| 0.0406|    1.966| 0.073|    1.200| 0.085| 0.353|16|13.3353|0.0007|12.8945|       |
Gaia DR2 4657679655028521472|084.67392207536| 0.0250|-69.10696528049| 0.0251|4657679655028521472|   -0.0256| 0.0251|    1.610| 0.044|    0.393| 0.047| 0.111|15|14.2098|0.0007|13.7885|       |
Gaia DR2 4657679659311707264|084.67384850837| 0.0353|-69.10783075016| 0.0390|4657679659311707264|    0.0641| 0.0358|    1.783| 0.065|    0.675| 0.073| 0.194|15|15.2037|0.0012|       |       |
Gaia DR2 4657685534807639808|084.68732617171| 0.0375|-69.09838251963| 0.0414|4657685534807639808|   -0.0525| 0.0394|    1.616| 0.070|    1.265| 0.082| 0.311|16|14.4266|0.0015|13.9548|       |
Gaia DR2 4657685534807650304|084.68203658893| 0.0318|-69.09664802186| 0.0347|4657685534807650304|   -0.0908| 0.0333|    1.754| 0.060|    1.179| 0.064| 0.217|14|13.8391|0.0017|13.4772|       |
Gaia DR2 4657685534828257792|084.68440090029| 0.0273|-69.10166586620| 0.0308|4657685534828257792|    0.1116| 0.0287|    1.874| 0.052|    0.753| 0.056| 0.190|16|12.9453|0.0016|12.5321|       |
Gaia DR2 4657685534828283904|084.69242900070| 0.0255|-69.10485223321| 0.0299|4657685534828283904|    0.0435| 0.0283|    1.868| 0.049|    1.086| 0.058| 0.190|16|13.7556|0.0007|13.4286|       |
Gaia DR2 4657685530496770944|084.68993509290| 0.0291|-69.09662826356| 0.0305|4657685530496770944|    0.0244| 0.0311|    1.836| 0.055|    0.774| 0.059| 0.000|17|12.4693|0.0013|12.1363|       |
Gaia DR2 4657685534828230528|084.69496390873| 0.0252|-69.10088293708| 0.0256|4657685534828230528|    0.0564| 0.0282|    1.747| 0.048|    0.722| 0.050| 0.106|15|14.1771|0.0007|13.8709|       |
Gaia DR2 4657685534807606784|084.69653324546| 0.0450|-69.09848306725| 0.0522|4657685534807606784|   -0.0277| 0.0543|    1.903| 0.085|    0.914| 0.091| 0.167|15|15.7390|0.0018|15.2691|       |
Gaia DR2 4657685530496766336|084.67957014448| 0.0380|-69.09635935784| 0.0428|4657685530496766336|   -0.2246| 0.0416|    1.644| 0.066|    0.532| 0.073| 0.285|14|13.3643|0.0027|12.9318|       |

