#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-10T10:50:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af41ece3370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.2
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#-out=Plx
#Plx=<2
#-out=e_Plx
#-out=pmRA
#pmRA=-2..2
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=-2..2
#-out=e_pmDE
#e_pmDE=<=0.1
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.2	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|Gmag|e_Gmag|RV|e_RV
 |deg|mas|deg|mas|mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|mag|mag|km/s|km/s
----------------------------|---------------|-------|---------------|-------|----------|-------|---------|------|---------|------|-------|------|-------|-----
Gaia DR2 4657653953887452416|084.52769315904| 0.0317|-69.29159031403| 0.0293|   -0.0895| 0.0308|    1.708| 0.056|    0.609| 0.054|12.4821|0.0034|       |
Gaia DR2 4657653988247171200|084.60091847011| 0.0554|-69.29476135669| 0.0520|   -0.0452| 0.0531|    1.567| 0.100|    0.633| 0.097|15.8720|0.0030|       |
Gaia DR2 4657654061277334528|084.53255522880| 0.0506|-69.27639877567| 0.0513|   -0.1069| 0.0514|    1.483| 0.096|    0.460| 0.097|16.2427|0.0011|       |
Gaia DR2 4657654091327760000|084.54905905558| 0.0255|-69.27195094333| 0.0250|   -0.0442| 0.0251|    1.826| 0.048|    0.586| 0.048|13.4035|0.0029| 273.96| 1.71
Gaia DR2 4657654095662252544|084.53041437849| 0.0361|-69.27354989127| 0.0337|    0.0909| 0.0358|    1.904| 0.065|    0.169| 0.067|12.7010|0.0058| 266.59| 1.15
Gaia DR2 4657654095662252800|084.52982706004| 0.0443|-69.27452487367| 0.0424|    0.0142| 0.0446|    1.381| 0.081|    0.460| 0.081|14.8139|0.0009|       |
Gaia DR2 4657653992583061504|084.57551203149| 0.0281|-69.29515388922| 0.0266|   -0.0517| 0.0281|    1.892| 0.051|    0.618| 0.048|12.6972|0.0056| 261.99| 0.57
Gaia DR2 4657654026942805376|084.60594104927| 0.0483|-69.29364260327| 0.0440|   -0.1356| 0.0482|    1.578| 0.083|    0.649| 0.087|15.9926|0.0010|       |
Gaia DR2 4657654057039967872|084.52651827015| 0.0360|-69.27973243598| 0.0345|    1.0833| 0.0365|   -0.354| 0.068|   -0.739| 0.071|15.9530|0.0006|       |
Gaia DR2 4657653992583057792|084.56986833260| 0.0249|-69.29219929501| 0.0240|   -0.0138| 0.0247|    1.735| 0.045|    0.511| 0.044|14.2806|0.0004|       |
Gaia DR2 4657653992583059584|084.57134465328| 0.0485|-69.29334770737| 0.0484|   -0.1140| 0.0475|    1.712| 0.090|    0.968| 0.089|15.8909|0.0040|       |
Gaia DR2 4657654026942799744|084.60789080575| 0.0288|-69.28880330535| 0.0280|   -0.1011| 0.0279|    1.653| 0.053|    0.626| 0.056|15.5163|0.0011|       |
Gaia DR2 4657654026942784000|084.57058810294| 0.0437|-69.27590478299| 0.0425|   -0.0573| 0.0423|    1.676| 0.079|    0.440| 0.083|15.8128|0.0076|       |
Gaia DR2 4657653992583056640|084.56001481375| 0.0429|-69.29244634563| 0.0411|   -0.0887| 0.0419|    1.767| 0.080|    0.679| 0.082|16.3590|0.0008|       |
Gaia DR2 4657654026917641088|084.60901622691| 0.0382|-69.29232841226| 0.0349|    0.0171| 0.0368|    1.673| 0.067|    0.489| 0.067|16.0288|0.0009|       |
Gaia DR2 4657654095662250880|084.52407308457| 0.0471|-69.27270941647| 0.0454|   -0.0859| 0.0460|    1.776| 0.089|    0.578| 0.090|16.1203|0.0009|       |
Gaia DR2 4657654095637069568|084.53841903480| 0.0402|-69.27624862365| 0.0384|   -0.1238| 0.0385|    1.532| 0.076|    0.456| 0.076|15.4261|0.0005|       |
Gaia DR2 4657654233101198592|084.46464075772| 0.0393|-69.27230126308| 0.0392|   -0.0038| 0.0391|    1.594| 0.076|    0.541| 0.085|15.9431|0.0017|       |
Gaia DR2 4657654198741461376|084.44254113372| 0.0514|-69.27977873471| 0.0468|    0.0088| 0.0502|    1.823| 0.092|    0.668| 0.096|16.0068|0.0009|       |
