#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-09T15:11:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af1e13792ae	
#INFO	-out.max=unlimited	
#INFO	queryParameters=41	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=R136a
#-c.eq=J2000
#-c.r=50
#-c.u=arcsec
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#e_RA_ICRS=!=
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#e_DE_ICRS=!=
#-out=Source
#-out=Plx
#Plx=<1
#-out=e_Plx
#-out=pmRA
#pmRA=-2..2
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=-2..2
#-out=e_pmDE
#e_pmDE=<=0.1
#-out=epsi
#epsi=<1
#-out=Nper
#Nper=>= 5
#-out=Gmag
#-out=e_Gmag
#-out=RPmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.680420-69.102220,rs=50.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Nper	(I2)	Number of visibility periods used in Astrometric solution (visibility_periods_used)	[ucd=meta.number]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Nper|Gmag|e_Gmag|RPmag|RV|e_RV
 |deg|mas|deg|mas| |mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|mas| |mag|mag|mag|km/s|km/s
----------------------------|---------------|-------|---------------|-------|-------------------|----------|-------|---------|------|---------|------|------|--|-------|------|-------|-------|-----
Gaia DR2 4657679659311708544|084.67475028034| 0.0283|-69.10826514396| 0.0284|4657679659311708544|   -0.0329| 0.0265|    1.931| 0.055|    0.778| 0.054| 0.077|15|14.9988|0.0009|14.3616|       |
Gaia DR2 4657679624951968640|084.66185447952| 0.0194|-69.11376103741| 0.0212|4657679624951968640|    0.0156| 0.0220|    1.810| 0.040|    0.640| 0.041| 0.000|14|13.6432|0.0009|13.2163|       |
Gaia DR2 4657679659292387456|084.67507569034| 0.0533|-69.10469109694| 0.0490|4657679659292387456|    0.0364| 0.0491|    1.789| 0.093|    0.191| 0.095| 0.328|14|15.3705|0.0027|       |       |
Gaia DR2 4657679659312999296|084.68003324416| 0.0387|-69.10402943402| 0.0445|4657679659312999296|    0.1933| 0.0406|    1.966| 0.073|    1.200| 0.085| 0.353|16|13.3353|0.0007|12.8945|       |
Gaia DR2 4657679586261960064|084.70720131044| 0.0238|-69.11195848088| 0.0267|4657679586261960064|    0.0217| 0.0262|    1.745| 0.045|    0.768| 0.050| 0.170|16|13.0349|0.0011|12.7329|       |
Gaia DR2 4657679655028521472|084.67392207536| 0.0250|-69.10696528049| 0.0251|4657679655028521472|   -0.0256| 0.0251|    1.610| 0.044|    0.393| 0.047| 0.111|15|14.2098|0.0007|13.7885|       |
Gaia DR2 4657679659311801600|084.67776542356| 0.0226|-69.10997021571| 0.0237|4657679659311801600|   -0.0211| 0.0219|    1.665| 0.045|    0.674| 0.045| 0.000|17|14.7171|0.0010|14.3330|       |
Gaia DR2 4657679659311707264|084.67384850837| 0.0353|-69.10783075016| 0.0390|4657679659311707264|    0.0641| 0.0358|    1.783| 0.065|    0.675| 0.073| 0.194|15|15.2037|0.0012|       |       |
Gaia DR2 4657679659311706752|084.66364560318| 0.0420|-69.11083624389| 0.0458|4657679659311706752|   -0.0915| 0.0457|    1.690| 0.083|    1.141| 0.092| 0.103|17|16.0992|0.0020|14.9999|       |
Gaia DR2 4657679654981425664|084.66540809982| 0.0303|-69.10668133680| 0.0326|4657679654981425664|    0.1206| 0.0305|    1.806| 0.063|    0.331| 0.062| 0.229|16|14.2579|0.0007|13.8059|       |
Gaia DR2 4657679654981423488|084.65938304649| 0.0360|-69.10483377468| 0.0371|4657679654981423488|   -0.0027| 0.0361|    1.729| 0.072|    0.919| 0.074| 0.163|17|15.4134|0.0040|14.6208|       |
Gaia DR2 4657679654981423744|084.66034884745| 0.0204|-69.10611321054| 0.0222|4657679654981423744|   -0.1205| 0.0209|    1.676| 0.042|    0.755| 0.044| 0.101|14|13.5420|0.0055|13.2234|       |
Gaia DR2 4657679654981424640|084.66312122933| 0.0191|-69.10591381943| 0.0181|4657679654981424640|    0.0458| 0.0185|    1.699| 0.035|    0.607| 0.034| 0.000|16|13.2226|0.0012|12.7187|       |
Gaia DR2 4657680415225904640|084.64823637454| 0.0427|-69.10185433911| 0.0491|4657680415225904640|    0.0631| 0.0462|    1.504| 0.083|    0.604| 0.089| 0.284|15|14.5191|0.0031|13.9031|       |
Gaia DR2 4657680410895734784|084.65057112510| 0.0279|-69.09943386456| 0.0310|4657680410895734784|    0.0901| 0.0282|    1.763| 0.054|    0.565| 0.059| 0.000|16|11.6454|0.0018|11.2460|       |
Gaia DR2 4657680415225947008|084.64978093002| 0.0242|-69.10256887485| 0.0264|4657680415225947008|   -0.0373| 0.0235|    1.671| 0.046|    0.555| 0.063| 0.034|13|12.9699|0.0012|12.5262|       |
Gaia DR2 4657680415225922048|084.65000224248| 0.0357|-69.10470636364| 0.0381|4657680415225922048|    0.0860| 0.0354|    1.655| 0.069|    0.325| 0.076| 0.241|16|14.8767|0.0018|13.9240|       |
Gaia DR2 4657685534807639808|084.68732617171| 0.0375|-69.09838251963| 0.0414|4657685534807639808|   -0.0525| 0.0394|    1.616| 0.070|    1.265| 0.082| 0.311|16|14.4266|0.0015|13.9548|       |
Gaia DR2 4657685534828224896|084.66558898927| 0.0425|-69.09425464664| 0.0495|4657685534828224896|    0.0079| 0.0467|    1.668| 0.081|    0.844| 0.091| 0.243|15|15.4092|0.0034|14.5066|       |
Gaia DR2 4657685534807650304|084.68203658893| 0.0318|-69.09664802186| 0.0347|4657685534807650304|   -0.0908| 0.0333|    1.754| 0.060|    1.179| 0.064| 0.217|14|13.8391|0.0017|13.4772|       |
Gaia DR2 4657685534828270976|084.67808840257| 0.0327|-69.09516871729| 0.0312|4657685534828270976|    0.0086| 0.0293|    1.706| 0.060|    0.646| 0.056| 0.000|16|11.7387|0.0020|11.4570|       |
Gaia DR2 4657685534828272512|084.69036652325| 0.0278|-69.09417402371| 0.0334|4657685534828272512|    0.0102| 0.0325|    1.750| 0.053|    0.705| 0.068| 0.207|17|13.8885|0.0005|13.5764|       |
Gaia DR2 4657685534828257792|084.68440090029| 0.0273|-69.10166586620| 0.0308|4657685534828257792|    0.1116| 0.0287|    1.874| 0.052|    0.753| 0.056| 0.190|16|12.9453|0.0016|12.5321|       |
Gaia DR2 4657685534828273536|084.69068304074| 0.0479|-69.09469121152| 0.0533|4657685534828273536|   -0.0727| 0.0501|    1.842| 0.091|    0.785| 0.093| 0.348|15|14.6803|0.0031|       |       |
Gaia DR2 4657685466088274688|084.71265145387| 0.0250|-69.09855210944| 0.0270|4657685466088274688|   -0.0313| 0.0254|    1.718| 0.048|    0.791| 0.051| 0.049|18|14.7076|0.0005|14.4834|       |
Gaia DR2 4657685500468549248|084.71003208243| 0.0251|-69.09396032212| 0.0273|4657685500468549248|   -0.0717| 0.0255|    1.758| 0.047|    0.739| 0.050| 0.150|18|14.1453|0.0005|14.0016|       |
Gaia DR2 4657685530545537920|084.68505361902| 0.0262|-69.09340202752| 0.0276|4657685530545537920|   -0.0869| 0.0264|    1.866| 0.052|    0.777| 0.053| 0.201|16|13.6041|0.0007|13.3088|       |
Gaia DR2 4657685569187855488|084.69335046183| 0.0360|-69.09189626962| 0.0442|4657685569187855488|   -0.0582| 0.0377|    1.710| 0.070|    1.014| 0.082| 0.203|16|15.0711|0.0011|14.6952|       |
Gaia DR2 4657685569188021120|084.70197594088| 0.0386|-69.09241094334| 0.0442|4657685569188021120|   -0.0738| 0.0421|    1.540| 0.074|    0.901| 0.077| 0.113|16|12.3916|0.0135|11.2053|       |
