#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-01T11:24:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6c6f14a55	
#INFO	-out.form=mini	
#INFO	-out.max=9999	
#INFO	queryParameters=24	
#-oc.form=dec
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&pos:VFTS 682( 10 arcmin J2000)&HTTPPRM:&&-ref=VIZ5ae6c6f14a55&-oc.form=dec&-c.r=25&-c.geom=b&-order=I&-out.orig=standard&-out=designation&-out=ra&-out=ra_error&-out=dec&-out=dec_error&-out=parallax&-out=parallax_error&-out=pmra&-out=pmra_error&-out=pmdec&-out=pmdec_error&-out=radial_velocity&-out=radial_velocity_error&-file=-c&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=| -Separated-Values&-c.eq=J2000&-c.u=arcsec&
#-out.add=_1
#-c.r=0
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#-out.max=9999
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
_1|DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV
 | |deg|mas|deg|mas|mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|km/s|km/s
------------------------|----------------------------|---------------|-------|---------------|-------|----------|-------|---------|------|---------|------|-------|-----
                        |Gaia DR2 4038916228008642688|270.66590689283| 0.1011|-35.84906316741| 0.0932|   -0.0355| 0.1260|   -4.581| 0.180|   -4.969| 0.161|       |
                        |Gaia DR2 4038916227902526336|270.66596171702| 0.3363|-35.84955934472| 0.3044|    0.7612| 0.4516|    4.915| 0.688|   -2.346| 0.714|       |
                        |Gaia DR2 4038916228008649344|270.66345494936| 0.0880|-35.84897592606| 0.0753|    0.3623| 0.0995|    1.254| 0.144|   -5.170| 0.124|       |
                        |Gaia DR2 4038916227902570240|270.66427903523| 0.3423|-35.84874665138| 0.3060|    0.2187| 0.4089|   -4.910| 0.586|   -2.752| 0.517|       |
                        |Gaia DR2 4038916227902587136|270.66502805041| 0.5355|-35.84725053550| 0.4700|    0.0942| 0.7002|   -2.378| 0.962|   -3.328| 0.899|       |
                        |Gaia DR2 4038916227902597248|270.66361604143| 0.3115|-35.84798308652| 0.2764|    0.8451| 0.3662|   -1.171| 0.523|   -1.920| 0.452|       |
                        |Gaia DR2 4038916227902597120|270.66393969471| 0.3173|-35.84760731955| 0.2962|    0.1703| 0.4413|   -7.921| 0.562|  -13.394| 0.492|       |
                        |Gaia DR2 4038916227902554368|270.66750026355| 1.5883|-35.84686002260| 1.4280|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916228008641792|270.66841500279| 0.5289|-35.84791299079| 0.4861|   -0.9568| 0.8106|   -1.477| 0.837|   -6.305| 0.759|       |
                        |Gaia DR2 4038916223605661440|270.66723716434| 0.1479|-35.84877121669| 0.1375|    0.5571| 0.1854|   -1.039| 0.259|   -1.069| 0.229|       |
                        |Gaia DR2 4038916228008646144|270.66692156256| 0.3386|-35.84773490299| 0.3347|    0.0686| 0.4043|   -5.289| 0.632|   -4.442| 0.530|       |
                        |Gaia DR2 4038916227902554240|270.66695387861| 2.2800|-35.84694523089| 1.5584|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902554880|270.66786777200| 1.0911|-35.84651517064| 0.9970|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902524288|270.66897534102| 0.8309|-35.84710242404| 0.7945|   -3.0309| 1.0511|    4.518| 1.708|    0.782| 1.679|       |
                        |Gaia DR2 4038916227905340800|270.66882275093| 2.2502|-35.84507394743| 4.1931|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902519936|270.66969413426| 0.7106|-35.84666112511| 0.5916|   -1.0032| 0.8069|   -0.202| 1.053|   -5.702| 0.985|       |
                        |Gaia DR2 4038916227902570880|270.66587449195| 0.5227|-35.84737038690| 0.4248|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902608640|270.66497376889| 0.3641|-35.84633209855| 0.3588|   -0.1956| 0.4255|   -0.736| 0.694|   -5.218| 0.584|       |
                        |Gaia DR2 4038916227902583808|270.66567776929| 0.9424|-35.84624592410| 0.8331|          |       |         |      |         |      |       |
                        |Gaia DR2 4038916227902622080|270.66746572984| 0.3394|-35.84353196474| 0.3218|    0.1070| 0.3801|    0.019| 0.720|    0.301| 0.652|       |
                        |Gaia DR2 4038916227902611072|270.66266935312| 0.2040|-35.84824180668| 0.1822|    0.3393| 0.2353|    0.381| 0.352|   -3.644| 0.305|       |
                        |Gaia DR2 4038916227902639104|270.66104932128| 0.1197|-35.84797417712| 0.1050|    0.0449| 0.1358|    0.311| 0.207|   -6.866| 0.181|       |
