#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-04-29T19:19:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6170c1272	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&&-ref=VIZ5ae6170c1272&-file=.&-oc.form=dec&-c.r=100&-c.geom=r&-order=I&-out.form=verb&-out.orig=standard&-out=DR2Name&-out=RA_ICRS&-out=e_RA_ICRS&-out=DE_ICRS&-out=e_DE_ICRS&-out=Plx&-out=e_Plx&-out=pmRA&-out=e_pmRA&-out=pmDE&-out=e_pmDE&-out=RV&-out=e_RV&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=| -Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c=VFTS 682
#-c.eq=J2000
#-c.r=1
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,rm=1.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV
 |deg|mas|deg|mas|mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|km/s|km/s
----------------------------|---------------|-------|---------------|-------|----------|-------|---------|------|---------|------|-------|-----
Gaia DR2 4657685427466918784|084.76487412622| 2.2035|-69.07803755373| 1.7551|          |       |         |      |         |      |       |
Gaia DR2 4657685431728580736|084.77409509844| 7.7850|-69.07719190407| 4.2341|          |       |         |      |         |      |       |
Gaia DR2 4657685431749464064|084.76702305603| 0.8970|-69.07624562418| 1.0893|    0.4343| 0.8726|    4.146| 1.819|    1.020| 2.197|       |
Gaia DR2 4657685431729335808|084.77647033803| 1.7317|-69.07781359563| 1.4767|          |       |         |      |         |      |       |
Gaia DR2 4657685427466429056|084.76335459632| 0.3282|-69.07929365690| 0.3744|    0.0561| 0.3438|    0.509| 0.658|   -0.684| 0.743|       |
Gaia DR2 4657685427466430720|084.77214054567| 0.3011|-69.07758682031| 0.3404|   -0.1206| 0.3141|    1.422| 0.602|    0.795| 0.679|       |
Gaia DR2 4657685431749095296|084.77371819640| 0.5874|-69.07746361120| 0.6987|    1.4442| 0.6224|    8.656| 1.167|  -20.454| 1.489|       |
Gaia DR2 4657685564856510720|084.69249718727| 0.5113|-69.08192955614| 0.5923|   -0.8579| 0.5502|    3.817| 0.978|    1.632| 1.058|       |
Gaia DR2 4657685496137040640|084.71375910421| 0.3275|-69.08907218890| 0.4246|    0.0389| 0.3761|    2.736| 0.626|    0.481| 0.819|       |
Gaia DR2 4657685569187928320|084.69577237965| 7.8710|-69.08319509133| 6.7634|          |       |         |      |         |      |       |
Gaia DR2 4657685569187894528|084.70666603450| 8.1232|-69.08495435533|26.4605|          |       |         |      |         |      |       |
Gaia DR2 4657685569167474816|084.70702207558| 0.4210|-69.08688587297| 0.5645|    0.2404| 0.5162|    3.456| 0.798|    1.908| 0.996|       |
Gaia DR2 4657685569167174272|084.69749172393| 1.0696|-69.08501825224| 1.0070|          |       |         |      |         |      |       |
Gaia DR2 4657685569187924992|084.69990609508| 2.0678|-69.08462510861| 2.3842|          |       |         |      |         |      |       |
Gaia DR2 4657685564905764352|084.70207873249| 0.4486|-69.08443529149| 0.5230|   -0.0459| 0.4869|    2.179| 0.867|    3.436| 0.974|       |
Gaia DR2 4657685667984728960|084.70494444063| 0.1919|-69.08420271220| 0.2306|    0.4063| 0.2125|    2.701| 0.362|    1.832| 0.431|       |
Gaia DR2 4657685564905515776|084.70468275117| 2.9754|-69.08760467345|12.3405|          |       |         |      |         |      |       |
Gaia DR2 4657685564905516544|084.70681066137| 0.6634|-69.08809710617| 0.7517|   -0.5047| 0.7486|    0.841| 1.321|    1.031| 1.624|       |
Gaia DR2 4657685564905282560|084.69385997152| 2.3071|-69.08391607454| 1.2753|          |       |         |      |         |      |       |
Gaia DR2 4657685569187863808|084.69795206636| 3.0470|-69.08367074610| 3.1304|          |       |         |      |         |      |       |
Gaia DR2 4657685569187863680|084.69755189880| 2.3966|-69.08376242865| 2.4474|          |       |         |      |         |      |       |
Gaia DR2 4657685569187894400|084.70687216273| 1.0444|-69.08539410043| 1.1874|          |       |         |      |         |      |       |
Gaia DR2 4657685496185896064|084.72625145331| 0.3656|-69.09020142789| 0.4738|    0.1948| 0.4002|    0.718| 0.689|   -0.341| 0.884|       |
Gaia DR2 4657685569167203456|084.69791047285| 1.1575|-69.08259228993| 0.7454|          |       |         |      |         |      |       |
Gaia DR2 4657685569187867904|084.70381233299| 1.8686|-69.08697625675| 2.0332|          |       |         |      |         |      |       |
Gaia DR2 4657685569187898368|084.70306985164| 6.4426|-69.08597239342| 7.3664|          |       |         |      |         |      |       |
