#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-12T10:40:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af6a690976a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.05
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Plx
#Plx=-0.1..0.1
#-out=e_Plx
#-out=pmRA
#pmRA=!=
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=!=
#-out=e_pmDE
#e_pmDE=<=0.1
#-out=epsi
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.05	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	epsi	(F6.3)	Excess noise of the source (astrometric_excess_noise) (12)	[ucd=stat.value]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Source|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|epsi|Gmag|e_Gmag|RV|e_RV
 |deg|mas|deg|mas| |mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|mas|mag|mag|km/s|km/s
----------------------------|---------------|-------|---------------|-------|-------------------|----------|-------|---------|------|---------|------|------|-------|------|-------|-----
Gaia DR2 4657679384433945344|084.78053651583| 0.0308|-69.12946394353| 0.0366|4657679384433945344|   -0.0923| 0.0338|    1.692| 0.061|    0.691| 0.062| 0.103|15.3562|0.0006|       |
Gaia DR2 4657680239096972416|084.64893869113| 0.0426|-69.13881484268| 0.0453|4657680239096972416|    0.0031| 0.0431|    1.684| 0.084|    0.588| 0.087| 0.111|16.0657|0.0016|       |
Gaia DR2 4657679453131840896|084.70083676503| 0.0272|-69.13636409262| 0.0284|4657679453131840896|   -0.0463| 0.0281|    1.524| 0.054|    0.619| 0.059| 0.089|14.8696|0.0007|       |
Gaia DR2 4657679453153396992|084.70364666252| 0.0414|-69.14114160092| 0.0430|4657679453153396992|   -0.0180| 0.0416|    1.665| 0.080|    0.584| 0.083| 0.000|16.0167|0.0017|       |
Gaia DR2 4657679487513112960|084.66195467287| 0.0367|-69.13738176632| 0.0298|4657679487513112960|    0.0181| 0.0325|    1.696| 0.064|    0.673| 0.056| 0.000|12.4812|0.0017|       |
Gaia DR2 4657679487513113600|084.65577426375| 0.0391|-69.14524836021| 0.0426|4657679487513113600|   -0.0020| 0.0398|    1.845| 0.085|    0.579| 0.082| 0.150|15.9184|0.0020|       |
Gaia DR2 4657679521872849664|084.66369815921| 0.0378|-69.13138548281| 0.0351|4657679521872849664|    0.0925| 0.0340|    1.810| 0.075|    0.527| 0.071| 0.073|15.5220|0.0009|       |
Gaia DR2 4657679453153409792|084.72833070294| 0.0216|-69.14565505605| 0.0232|4657679453153409792|   -0.0667| 0.0231|    1.732| 0.043|    0.801| 0.045| 0.105|13.9595|0.0009|       |
Gaia DR2 4657679448823010176|084.72108674817| 0.0434|-69.14025023414| 0.0460|4657679448823010176|   -0.0204| 0.0465|    1.648| 0.083|    0.623| 0.091| 0.110|16.0067|0.0012|       |
Gaia DR2 4657679521872862592|084.68736401885| 0.0217|-69.13521046281| 0.0228|4657679521872862592|    0.0169| 0.0221|    1.672| 0.043|    0.657| 0.043| 0.000|14.4006|0.0010|       |
Gaia DR2 4657679487513122048|084.67601178942| 0.0229|-69.14231902263| 0.0244|4657679487513122048|   -0.0183| 0.0235|    1.770| 0.045|    0.575| 0.049| 0.000|14.7563|0.0013|       |
Gaia DR2 4657679487513117568|084.66970079789| 0.0376|-69.14025621766| 0.0413|4657679487513117568|    0.0171| 0.0388|    1.798| 0.076|    0.799| 0.084| 0.129|15.8397|0.0012|       |
Gaia DR2 4657679521872856064|084.67579336259| 0.0353|-69.13449946264| 0.0399|4657679521872856064|   -0.0323| 0.0374|    1.462| 0.071|    0.823| 0.078| 0.000|15.7150|0.0010|       |
Gaia DR2 4657679453153411840|084.73669234959| 0.0231|-69.14473271598| 0.0232|4657679453153411840|   -0.0068| 0.0236|    1.925| 0.044|    0.690| 0.044| 0.019|14.8188|0.0006|       |
Gaia DR2 4657679556232618112|084.72357545375| 0.0381|-69.13657865505| 0.0415|4657679556232618112|    0.0321| 0.0410|    1.837| 0.076|    0.646| 0.082| 0.184|15.5453|0.0008|       |
Gaia DR2 4657679659311708544|084.67475028034| 0.0283|-69.10826514396| 0.0284|4657679659311708544|   -0.0329| 0.0265|    1.931| 0.055|    0.778| 0.054| 0.077|14.9988|0.0009|       |
Gaia DR2 4657679624951971456|084.67339418067| 0.0428|-69.11733805229| 0.0468|4657679624951971456|    0.0942| 0.0442|    1.869| 0.083|    0.578| 0.097| 0.143|16.0449|0.0015|       |
Gaia DR2 4657679624951968640|084.66185447952| 0.0194|-69.11376103741| 0.0212|4657679624951968640|    0.0156| 0.0220|    1.810| 0.040|    0.640| 0.041| 0.000|13.6432|0.0009|       |
