C.D.S.  -  SIMBAD4 rel 1.6  -  2018.04.29CEST19:43:33

coord 05 38 55.526-69 04 26.72 (ICRS, J2000, 2000.0), radius: 10 arcmin
-----------------------------------------------------------------------

Number of objects : 3343

 #  |dist(asec)|          identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|----------|------------------------------|---|---------------------------|------|------|------|------|------|-----------------------------------|----|----
1   |      0.00|UCAC4 105-014417              |WR*|05 38 55.526 -69 04 26.72  |     ~|16.66 |16.08 |     ~|14.89 |WN5h                               |  38|   0
2   |     10.09|[AMO2014] 1                   |cor|05 38 55.09 -69 04 16.9    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
3   |     10.43|[AMO2014] 13                  |cor|05 38 56.40 -69 04 17.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
4   |     10.87|[WBS2013] S10B                |IR |05 38 56.60 -69 04 17.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
5   |     10.90|[IBC2013] 75                  |cor|05 38 53.80 -69 04 32.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
6   |     10.98|SSTISAGEMA J053856.58-690417.3|IR |05 38 56.58 -69 04 17.3    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
7   |     11.42|[WBS2013] S10A                |IR |05 38 56.31 -69 04 16.1    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
8   |     11.53|2MASS J05385653-6904165       |Y*O|05 38 56.531 -69 04 16.53  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
9   |     11.61|[KKB2007] 30 Dor-30           |Y*?|05 38 56.400 -69 04 16.10  |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
10  |     12.00|[WBS2013] S10C                |IR |05 38 56.84 -69 04 17.0    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
11  |     13.13|[IBC2013] 73                  |cor|05 38 53.72 -69 04 35.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
12  |     15.94|Dor IRS 162                   |IR |05 38 57.8 -69 04 37       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
13  |     16.12|SSTISAGEMA J053858.38-690421.6|IR |05 38 58.38 -69 04 21.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
14  |     16.99|[RBW98] IRSN-170              |IR |05 38 53.06 -69 04 37.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   2|   0
15  |     17.32|[IBC2013] 74                  |cor|05 38 52.62 -69 04 34.3    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
16  |     17.44|[AMO2014] 10                  |cor|05 38 52.87 -69 04 36.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
17  |     17.48|2MASS J05385838-6904350       |Y*O|05 38 58.389 -69 04 35.10  |     ~|16.64 |16.31 |     ~|15.768|O8V(n)                             |  11|   0
18  |     17.49|[IBC2013] 72                  |cor|05 38 52.94 -69 04 37.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
19  |     17.81|[IBC2013] 71                  |cor|05 38 53.42 -69 04 40.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
20  |     17.99|[IBC2013] 70                  |cor|05 38 53.88 -69 04 42.4    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
21  |     18.45|2MASS J05385273-6904374       |Y*O|05 38 52.730 -69 04 37.49  |     ~|     ~|     ~|     ~|     ~|~                                  |   7|   0
22  |     18.50|[RBW98] IRSN-169              |IR |05 38 52.72 -69 04 37.5    |     ~|     ~|     ~|     ~|     ~|~                                  |   6|   0
23  |     19.31|Dor IRS 144                   |IR |05 38 53.1 -69 04 41       |     ~|     ~|     ~|     ~|     ~|~                                  |   0|   0
24  |     19.42|[IBC2013] 69                  |cor|05 38 54.85 -69 04 45.8    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
25  |     20.17|[RBW98] IRSN-172              |IR |05 38 53.34 -69 04 10.3    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
26  |     21.65|[IBC2013] 93                  |cor|05 38 51.60 -69 04 21.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
27  |     21.82|[IBC2013] 94                  |cor|05 38 51.89 -69 04 16.9    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
28  |     22.60|[GC2009] J053851.36-690423.2  |IR |05 38 51.36 -69 04 23.2    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
29  |     22.84|[IBC2013] 77                  |cor|05 38 51.85 -69 04 38.3    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
30  |     23.36|[GC2009] J053859.54-690417.6  |IR |05 38 59.54 -69 04 17.6    |     ~|     ~|     ~|     ~|     ~|~                                  |   1|   0
